FIPS,Dems,Repub
21117,21460,33371
21119,2523,2950
21121,3074,8150
21123,1913,4153
21125,4593,17563
21127,2036,3503
21129,752,1978
21131,766,3574
21133,2623,5367
21135,1510,3213
21137,2752,6273
21139,1622,2890
21141,3811,6925
21143,1577,2220
21151,12392,19694
21153,2105,2434
21155,3596,3842
21157,5593,9463
21159,808,2824
21161,2891,4102
21145,11285,19043
21147,1258,4078
21149,1963,2386
21163,4343,6691
21165,1276,1155
21167,3159,6781
21169,1350,2734
21171,1067,3537
21173,4234,5947
21175,1858,2377
21177,6221,6447
21179,7654,10139
21181,1272,1634
21183,4059,5781
21185,9996,18992
21187,1694,2969
21189,381,1279
21191,2027,3676
21193,3444,6762
21195,9525,12665
21197,2065,2867
21199,5590,19862
21201,451,533
21203,1410,4757
21205,4074,3907
21207,1579,5702
21209,7712,11782
21211,6871,11451
21213,2775,4437
21215,2519,5378
21217,3165,7568
21219,1543,3336
21221,2246,4189
21223,1484,2239
21225,2804,3120
21227,17650,25957
21229,1890,3305
21231,2201,4868
21233,2390,3037
21235,3484,10014
21237,1493,1408
21239,5027,7130
22001,7028,19228
22003,2891,6333
22005,14620,31225
22007,4756,5981
22009,6327,10234
22011,3071,10718
22013,3589,3776
22015,12701,32706
22017,55220,52105
22019,30227,50431
22021,1118,3696
22023,613,3089
22025,1659,3486
22027,3025,3750
22029,3766,5668
22031,5241,6882
22033,99431,95297
22035,2267,1254
22037,4383,5431
22039,5852,9792
22041,2959,6278
22043,1474,6906
22045,12492,20123
22047,9023,7185
22049,2456,5190
22053,3923,9277
22051,64853,113008
22055,32145,62055
22057,9662,27089
22059,860,5601
22061,8267,10676
22063,6674,43247
22065,3100,2152
22067,5789,7258
22069,7801,9054
22071,116042,28041
22073,24769,41708
22075,3378,6889
22077,5516,6702
22079,20109,36605
22081,2080,2484
22083,3311,5751
22085,2245,7226
22087,3491,9642
22089,8519,16456
22091,3567,2522
22093,6993,5432
22095,12420,8908
22097,20267,21647
22099,9419,14443
22101,9342,13181
22103,24589,83047
22105,16427,31421
22107,1646,1367
22109,11579,28208
22111,3103,7619
22113,6261,18069
22115,3534,11946
22117,6122,12215
22119,6610,11417
22121,5043,6654
22123,878,4045
22125,2414,3149
22127,2044,4628
23001,30635,22597
23003,19303,15862
23005,103637,55818
23007,10582,6986
23009,18863,12667
23011,37099,27456
23013,13728,8816
23015,11884,9287
23017,17936,12856
23019,42975,37523
23021,4430,4785
23023,12207,8771
23025,13343,11864
23027,11820,10375
23029,8241,8070
23031,64798,42459
24001,10564,18197
24003,122064,127336
24005,207382,155497
24510,206548,27850
24009,19953,22808
24011,4856,7882
24013,27655,53859
24015,17391,23534
24017,42352,24957
24019,6718,7990
24021,52078,53712
24023,3628,8749
24025,47301,70226
24027,84215,53932
24029,4861,4861
24031,303945,114998
24033,323105,37969
24035,8349,14766
24039,4650,4897
24037,18402,24078
24041,8582,10636
